season,league,date,time,round,home,away,ht_score,ft_score
2022-23,Deutsche Bundesliga,2022-09-03,15:30,Matchday 5,VfL Wolfsburg,1. FC Köln,1-3,2-4
2022-23,Deutsche Bundesliga,2022-10-02,17:30,Matchday 8,FC Schalke 04,FC Augsburg,1-2,2-3
2022-23,Deutsche Bundesliga,2022-10-09,15:30,Matchday 9,Borussia Mönchengladbach,1. FC Köln,2-1,5-2
2022-23,Deutsche Bundesliga,2022-10-09,17:30,Matchday 9,Hertha BSC,SC Freiburg,1-1,2-2
2022-23,Deutsche Bundesliga,2022-10-15,15:30,Matchday 10,VfL Wolfsburg,Borussia Mönchengladbach,1-1,2-2
2022-23,Deutsche Bundesliga,2022-10-22,15:30,Matchday 11,Bayer 04 Leverkusen,VfL Wolfsburg,1-1,2-2
2022-23,Deutsche Bundesliga,2022-10-29,15:30,Matchday 12,FC Bayern München,1. FSV Mainz 05,3-1,6-2
2022-23,Deutsche Bundesliga,2022-11-09,20:30,Matchday 14,Eintracht Frankfurt,TSG 1899 Hoffenheim,3-1,4-2
2022-23,Deutsche Bundesliga,2023-01-22,15:30,Matchday 16,Borussia Dortmund,FC Augsburg,2-2,4-3
2022-23,Deutsche Bundesliga,2023-01-24,20:30,Matchday 17,TSG 1899 Hoffenheim,VfB Stuttgart,1-1,2-2
2022-23,Deutsche Bundesliga,2023-02-05,17:30,Matchday 19,VfL Wolfsburg,FC Bayern München,1-3,2-4
2022-23,Deutsche Bundesliga,2023-02-18,15:30,Matchday 21,Borussia Mönchengladbach,FC Bayern München,1-1,3-2
2022-23,Deutsche Bundesliga,2023-02-19,19:30,Matchday 21,Bayer 04 Leverkusen,1. FSV Mainz 05,1-2,2-3
2022-23,Deutsche Bundesliga,2023-03-11,15:30,Matchday 24,FC Bayern München,FC Augsburg,4-1,5-3
2022-23,Deutsche Bundesliga,2023-03-12,17:30,Matchday 24,SV Werder Bremen,Bayer 04 Leverkusen,1-1,2-3
2022-23,Deutsche Bundesliga,2023-04-14,20:30,Matchday 28,FC Schalke 04,Hertha BSC,2-1,5-2
2022-23,Deutsche Bundesliga,2023-05-13,15:30,Matchday 32,VfL Bochum 1848,FC Augsburg,1-1,3-2
2022-23,Deutsche Bundesliga,2023-05-20,15:30,Matchday 33,FC Schalke 04,Eintracht Frankfurt,1-1,2-2
2022-23,Deutsche Bundesliga,2023-05-20,15:30,Matchday 33,TSG 1899 Hoffenheim,1. FC Union Berlin,2-1,4-2
2022-23,Deutsche Bundesliga,2023-05-27,15:30,Matchday 34,RB Leipzig,FC Schalke 04,2-1,4-2
2023-24,Deutsche Bundesliga,2023-08-19,15:30,Matchday 1,Bayer 04 Leverkusen,RB Leipzig,2-1,3-2
2023-24,Deutsche Bundesliga,2023-08-19,15:30,Matchday 1,FC Augsburg,Borussia Mönchengladbach,3-3,4-4
2023-24,Deutsche Bundesliga,2023-09-02,15:30,Matchday 3,FC Augsburg,VfL Bochum 1848,1-1,2-2
2023-24,Deutsche Bundesliga,2023-09-15,20:30,Matchday 4,FC Bayern München,Bayer 04 Leverkusen,1-1,2-2
2023-24,Deutsche Bundesliga,2023-10-06,20:30,Matchday 7,Borussia Mönchengladbach,1. FSV Mainz 05,1-1,2-2
2023-24,Deutsche Bundesliga,2023-10-07,18:30,Matchday 7,SV Werder Bremen,TSG 1899 Hoffenheim,1-2,2-3
2023-24,Deutsche Bundesliga,2023-10-29,15:30,Matchday 9,Eintracht Frankfurt,Borussia Dortmund,2-1,3-3
2023-24,Deutsche Bundesliga,2023-11-05,15:30,Matchday 10,VfL Wolfsburg,SV Werder Bremen,1-1,2-2
2023-24,Deutsche Bundesliga,2023-12-09,18:30,Matchday 14,Borussia Dortmund,RB Leipzig,1-1,2-3
2023-24,Deutsche Bundesliga,2023-12-15,20:30,Matchday 15,Borussia Mönchengladbach,SV Werder Bremen,1-1,2-2
2023-24,Deutsche Bundesliga,2023-12-19,20:30,Matchday 16,TSG 1899 Hoffenheim,SV Darmstadt 98,2-1,3-3
2023-24,Deutsche Bundesliga,2024-01-27,15:30,Matchday 19,VfB Stuttgart,RB Leipzig,2-1,5-2
2023-24,Deutsche Bundesliga,2024-02-10,15:30,Matchday 21,FC Augsburg,RB Leipzig,1-1,2-2
2023-24,Deutsche Bundesliga,2024-02-18,15:30,Matchday 22,SC Freiburg,Eintracht Frankfurt,2-2,3-3
2023-24,Deutsche Bundesliga,2024-02-18,17:30,Matchday 22,VfL Bochum 1848,FC Bayern München,2-1,3-2
2023-24,Deutsche Bundesliga,2024-03-01,20:30,Matchday 24,SC Freiburg,FC Bayern München,1-1,2-2
2023-24,Deutsche Bundesliga,2024-03-09,15:30,Matchday 25,Borussia Mönchengladbach,1. FC Köln,1-1,3-3
2023-24,Deutsche Bundesliga,2024-03-16,15:30,Matchday 26,SV Darmstadt 98,FC Bayern München,1-2,2-5
2023-24,Deutsche Bundesliga,2024-03-17,15:30,Matchday 26,SC Freiburg,Bayer 04 Leverkusen,1-2,2-3
2023-24,Deutsche Bundesliga,2024-04-20,15:30,Matchday 30,TSG 1899 Hoffenheim,Borussia Mönchengladbach,1-1,4-3
2023-24,Deutsche Bundesliga,2024-05-04,15:30,Matchday 32,SV Werder Bremen,Borussia Mönchengladbach,1-1,2-2
2024-25,Deutsche Bundesliga,2024-08-31,15:30,Matchday 2,VfB Stuttgart,1. FSV Mainz 05,2-1,3-3
2024-25,Deutsche Bundesliga,2024-09-13,20:30,Matchday 3,Borussia Dortmund,1. FC Heidenheim 1846,3-1,4-2
2024-25,Deutsche Bundesliga,2024-09-20,20:30,Matchday 4,FC Augsburg,1. FSV Mainz 05,1-2,2-3
2024-25,Deutsche Bundesliga,2024-09-28,15:30,Matchday 5,VfL Wolfsburg,VfB Stuttgart,1-1,2-2
2024-25,Deutsche Bundesliga,2024-09-29,15:30,Matchday 5,Holstein Kiel,Eintracht Frankfurt,1-1,2-4
2024-25,Deutsche Bundesliga,2024-10-06,17:30,Matchday 6,Eintracht Frankfurt,FC Bayern München,2-2,3-3
2024-25,Deutsche Bundesliga,2024-10-19,15:30,Matchday 7,Borussia Mönchengladbach,1. FC Heidenheim 1846,1-1,3-2
2024-25,Deutsche Bundesliga,2024-10-20,17:30,Matchday 7,VfL Wolfsburg,SV Werder Bremen,1-1,2-4
2024-25,Deutsche Bundesliga,2024-11-02,15:30,Matchday 9,Eintracht Frankfurt,VfL Bochum 1848,4-1,7-2
2024-25,Deutsche Bundesliga,2024-11-23,15:30,Matchday 11,TSG 1899 Hoffenheim,RB Leipzig,1-2,4-3
2024-25,Deutsche Bundesliga,2024-11-30,15:30,Matchday 12,SV Werder Bremen,VfB Stuttgart,1-1,2-2
2024-25,Deutsche Bundesliga,2024-12-08,15:30,Matchday 13,VfL Wolfsburg,1. FSV Mainz 05,1-2,4-3
2024-25,Deutsche Bundesliga,2025-01-12,15:30,Matchday 16,RB Leipzig,SV Werder Bremen,2-1,4-2
2024-25,Deutsche Bundesliga,2025-01-15,20:30,Matchday 17,SV Werder Bremen,1. FC Heidenheim 1846,1-1,3-3
2024-25,Deutsche Bundesliga,2025-01-18,15:30,Matchday 18,FC Bayern München,VfL Wolfsburg,2-1,3-2
2024-25,Deutsche Bundesliga,2025-03-08,15:30,Matchday 25,Holstein Kiel,VfB Stuttgart,1-1,2-2
2024-25,Deutsche Bundesliga,2025-03-29,15:30,Matchday 27,FC Bayern München,FC St. Pauli 1910,1-1,3-2
2024-25,Deutsche Bundesliga,2025-05-03,15:30,Matchday 32,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2-1,4-4
2024-25,Deutsche Bundesliga,2025-05-09,20:30,Matchday 33,VfL Wolfsburg,TSG 1899 Hoffenheim,1-1,2-2
2024-25,Deutsche Bundesliga,2025-05-11,15:30,Matchday 33,Bayer 04 Leverkusen,Borussia Dortmund,1-2,2-4
2025-26,Germany | Bundesliga,2025-08-30,15:30 UTC+2,Regular Season - 2,Werder Bremen,Bayer Leverkusen,1-2,3-3
2025-26,Germany | Bundesliga,2025-09-13,15:30 UTC+2,Regular Season - 3,Wolfsburg,1. FC Köln,1-1,3-3
2025-26,Germany | Bundesliga,2025-09-21,15:30 UTC+2,Regular Season - 4,Eintracht Frankfurt,Union Berlin,1-2,3-4
2025-26,Germany | Bundesliga,2025-10-18,15:30 UTC+2,Regular Season - 7,1. FSV Mainz 05,Bayer Leverkusen,1-3,3-4
2025-26,Germany | Bundesliga,2025-11-02,17:30 UTC+1,Regular Season - 9,Wolfsburg,TSG 1899 Hoffenheim,1-1,2-3
2025-26,Germany | Bundesliga,2025-11-08,15:30 UTC+1,Regular Season - 10,Union Berlin,FC Bayern München,1-1,2-2
2025-26,Germany | Bundesliga,2025-11-22,18:30 UTC+1,Regular Season - 11,1. FC Köln,Eintracht Frankfurt,1-2,3-4
2025-26,Germany | Bundesliga,2025-12-14,17:30 UTC+1,Regular Season - 14,FC Bayern München,1. FSV Mainz 05,1-1,2-2
2025-26,Germany | Bundesliga,2025-12-20,15:30 UTC+1,Regular Season - 15,Wolfsburg,SC Freiburg,1-1,3-4
2025-26,Germany | Bundesliga,2026-01-09,20:30 UTC+1,Regular Season - 16,Eintracht Frankfurt,Borussia Dortmund,1-1,3-3
2025-26,Germany | Bundesliga,2026-01-13,18:30 UTC+1,Regular Season - 17,VfB Stuttgart,Eintracht Frankfurt,2-1,3-2
2025-26,Germany | Bundesliga,2026-01-16,20:30 UTC+1,Regular Season - 18,Werder Bremen,Eintracht Frankfurt,1-1,3-3
2025-26,Germany | Bundesliga,2026-01-31,18:30 UTC+1,Regular Season - 20,Hamburger SV,FC Bayern München,1-1,2-2
2025-26,Germany | Bundesliga,2026-02-01,17:30 UTC+1,Regular Season - 20,Borussia Dortmund,Heidenheim,1-1,3-2
2025-26,Germany | Bundesliga,2026-02-14,15:30 UTC+1,Regular Season - 22,Hamburger SV,Union Berlin,2-1,3-2
2025-26,Germany | Bundesliga,2026-02-21,15:30 UTC+1,Regular Season - 23,1. FC Köln,TSG 1899 Hoffenheim,1-1,2-2
2025-26,Germany | Bundesliga,2026-02-22,19:30 UTC+1,Regular Season - 23,Heidenheim,VfB Stuttgart,2-2,3-3
2025-26,Germany | Bundesliga,2026-03-07,15:30 UTC+1,Regular Season - 25,SC Freiburg,Bayer Leverkusen,2-2,3-3
2025-26,Germany | Bundesliga,2026-03-21,15:30 UTC+1,Regular Season - 27,1. FC Köln,Borussia M'gladbach,2-2,3-3
2025-26,Germany | Bundesliga,2026-04-04,15:30 UTC+2,Regular Season - 28,Borussia M'gladbach,Heidenheim,1-1,2-2
2025-26,Germany | Bundesliga,2026-04-19,17:30 UTC+2,Regular Season - 30,FC Bayern München,VfB Stuttgart,3-1,4-2
2025-26,Germany | Bundesliga,2026-05-02,15:30 UTC+2,Regular Season - 32,FC Bayern München,Heidenheim,1-2,3-3
2025-26,Germany | Bundesliga,2026-05-02,15:30 UTC+2,Regular Season - 32,TSG 1899 Hoffenheim,VfB Stuttgart,2-1,3-3
2025-26,Germany | Bundesliga,2026-05-08,20:30 UTC+2,Regular Season - 33,Borussia Dortmund,Eintracht Frankfurt,2-1,3-2
2025-26,Germany | Bundesliga,2026-05-10,15:30 UTC+2,Regular Season - 33,Hamburger SV,SC Freiburg,1-1,3-2
2026-27,Deutsche Bundesliga,2026-08-29,15:30,Matchday 1,1. FC Union Berlin,Eintracht Frankfurt,1-2,3-3
